                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6475,                 4.6224,                 2.7498,                      0,                      0,                      0,                      0,                 3.2861,                 4.4502,                 2.4713,                    0.1,                      0,                      0
                      2,                 3.3741,                 4.1967,                 2.3475,                      0,                      0,                      0,                      0,                 3.8833,                 4.2484,                 2.6702,                0.09901,              9.901e-06,              9.901e-06
                      3,                 3.4906,                  4.214,                 2.3177,                      0,                      0,                      0,                      0,                 3.8418,                 4.1314,                 2.5386,                0.09802,             1.9604e-05,             1.9604e-05
                      4,                 4.3012,                 4.2086,                 2.5332,                      0,                      0,                      0,                      0,                  3.772,                 4.0781,                 2.4032,               0.097029,             2.9109e-05,             2.9109e-05
                      5,                 3.5788,                 4.0676,                 2.4852,                      0,                      0,                      0,                      0,                 3.5372,                 4.0372,                 2.3103,               0.096038,             3.8416e-05,             3.8416e-05
                      6,                  3.934,                 3.7375,                 2.0025,                      0,                      0,                      0,                      0,                 3.4624,                 4.0156,                  2.295,               0.095048,             4.7525e-05,             4.7525e-05
                      7,                 3.5577,                 3.6581,                  1.789,                      0,                      0,                      0,                      0,                 3.3982,                 4.0067,                 2.3191,               0.094056,             5.6436e-05,             5.6436e-05
                      8,                 3.5289,                 4.1338,                 2.5014,                      0,                      0,                      0,                      0,                 3.4044,                 3.9737,                 2.4072,               0.093065,             6.5149e-05,             6.5149e-05
                      9,                 3.5509,                 3.5011,                 2.0643,                      0,                      0,                      0,                      0,                 3.3583,                  3.951,                 2.4547,               0.092074,             7.3664e-05,             7.3664e-05
                     10,                 3.0845,                 3.3485,                 1.7224,                0.00167,                0.06667,                0.00119,                0.00042,                 3.3743,                 3.9201,                  2.491,               0.091082,             8.1981e-05,             8.1981e-05
                     11,                 3.5569,                 4.3143,                 2.2573,                0.00167,                0.06667,                0.00141,                 0.0005,                 3.4653,                 3.8826,                 2.5623,                0.09009,               9.01e-05,               9.01e-05
                     12,                 2.9608,                 3.4899,                 1.8537,                0.00222,                0.08889,                0.00185,                0.00051,                 3.6094,                 3.8042,                 2.6559,               0.089098,             9.8021e-05,             9.8021e-05
                     13,                 3.0665,                  3.174,                 1.7171,                0.00222,                0.08889,                0.00189,                0.00046,                 3.6602,                 3.7587,                  2.679,               0.088106,             0.00010574,             0.00010574
                     14,                 2.7993,                 3.8982,                  1.638,                0.00167,                0.06667,                0.00146,                0.00037,                 3.6615,                 3.7456,                  2.674,               0.087113,             0.00011327,             0.00011327
                     15,                 2.5932,                 3.1783,                 1.6971,                0.00278,                0.11111,                0.00218,                0.00049,                 3.5987,                 3.7748,                 2.6436,               0.086121,              0.0001206,              0.0001206
                     16,                 2.5951,                 3.3033,                 1.8017,                0.00167,                0.06667,                0.00112,                0.00028,                  3.559,                 3.8197,                 2.6359,               0.085128,             0.00012773,             0.00012773
                     17,                 2.7641,                 2.9674,                 1.6165,                0.00056,                0.02222,                0.00036,                0.00014,                 3.5218,                 3.8661,                 2.6009,               0.084135,             0.00013466,             0.00013466
                     18,                 2.9146,                 3.0825,                 1.7126,                0.00056,                0.02222,                0.00036,                0.00014,                 3.5218,                 3.8661,                 2.6009,               0.083141,             0.00014139,             0.00014139
                     19,                  2.364,                 3.0853,                 1.6246,                0.00056,                0.02222,                0.00033,                  7e-05,                 3.5577,                 3.9217,                 2.5856,               0.082148,             0.00014792,             0.00014792
                     20,                  2.629,                 2.8862,                 1.7201,                0.00056,                0.02222,                0.00033,                  7e-05,                 3.5577,                 3.9217,                 2.5856,               0.081154,             0.00015426,             0.00015426
                     21,                 2.6875,                 3.2692,                 1.5654,                0.00056,                0.02222,                0.00033,                  7e-05,                 3.6751,                 3.9526,                  2.591,                0.08016,              0.0001604,              0.0001604
                     22,                 2.4341,                 3.1457,                 1.5854,                0.00056,                0.02222,                0.00033,                  7e-05,                 3.6751,                 3.9526,                  2.591,               0.079166,             0.00016634,             0.00016634
